year,area
1986,6377944549
1987,6255602083
1988,6075603106
1989,5829241822
1990,5409810185
1991,5361499024
1992,5114135093
1993,5383624418
1994,4671535669
1995,4855778278
1996,5003585347
1997,5334312016
1998,5630968270
1999,5507496623
2000,5330557807
2001,4989547774
2002,4851414313
2003,4407485495
2004,4384495173
2005,4666533336
2006,4887741149
2007,4474492147
2008,4475318873
2009,4399915128
2010,4190369352
2011,4897331652
2013,4345565752
2014,4347396809
2015,4119028165
2016,3764958673
2017,4335851637
2018,3762786699
2019,4386042382
2020,3931427137
2021,4014333011
